mz_rt	C1	C2	C3	H1	H2	H3	QC01	QC02	QC03
490.2309_3.92	405015.4042	380961.8637	369066.0334	0	0	0	400019.3447	402337.6599	402942.3593
231.1126_3.99	175061.3126	150212.5637	164223.2454	23957.74334	23355.97228	22124.06639	154137.3597	139733.7713	146322.8843
947.4462_3.99	5331335.617	4415002.296	4265510.356	3547.766686	0	0	4875888.62	4485075.044	4859871.137
456.2812_4.05	643130.9334	550989.7534	856269.8293	0	0	0	544132.2092	503364.4922	548367.6997
527.2458_4.05	593179.6638	531542.2832	507867.0642	0	0	0	565287.4321	536442.8391	604166.1508
510.2551_4.06	489809.6496	443162.2548	469008.0582	0	0	0	418470.7221	388917.8038	465435.9568
182.1287_4.11	687825.1729	634265.2456	622386.157	58713.30509	60947.88539	53062.8583	528081.3718	525641.9621	541838.3193
279.1698_4.11	267941.3728	230637.6659	365970.925	0	0	25.37113588	211349.0718	206719.4031	221792.5434
550.2502_4.13	1147994.837	1030953.419	1093782.129	0	0	0	1073780.017	1006460.819	1132860.114
571.3085_4.14	4676798.621	4221563.595	6174253.594	0	0	0	4292711.062	3991751.09	4252620.107
657.3562_4.17	1633634.697	1434600.092	2172062.341	0	0	0	1516179.725	1352243.747	1453219.349
663.3459_4.21	1659674.404	1534129.84	1502591.838	0	0	0	1611882.982	1554592.999	1693659.821
553.3337_4.28	271743.5142	259246.3573	444161.6713	0	0	0	219467.1706	219817.2767	242016.2634
211.1439_4.29	544209.061	485319.0716	478224.4883	28331.09638	25258.64136	23050.29329	383713.2139	388900.686	388841.7236
569.3288_4.29	394415.4914	353323.0005	616327.4544	0	0	0	269672.8344	257475.4282	311279.4685
209.0919_4.31	90602.16483	86627.28122	94814.67605	1238.927146	0	870.660435	81068.52585	78835.57759	83437.99071
772.4196_4.32	4160687.432	3796895.115	5450690.119	0	0	0	3467392.898	3366051.67	3576799.102
240.1227_4.35	114270.2816	109486.0333	167521.9472	6271.901465	2902.449589	9908.08646	106565.1026	102587.3245	107829.494
342.2381_4.41	111867.0992	92906.79112	162476.2738	0	0	0	80963.23176	75720.65691	88523.9248
561.23_4.41	808009.7014	743358.4869	780662.5344	0	0	0	668885.4518	753818.0191	736543.5613
562.2892_4.43	209542.3324	213932.8718	307261.1867	0	0	0	146780.0092	156386.7144	186302.7465
277.1179_4.43	1107356.143	1041328.239	1129487.903	0	0	0	994868.3269	1017252.496	1021434.53
757.391_4.46	3246745.507	3257456.795	4255136.926	0	0	0	2880774.927	3018890.906	2955741.053
592.3534_4.47	1357880.528	1418348.009	702338.1389	2862701.478	2777284.246	2839118.755	1669348.534	1746668.077	1747774.13
484.3852_4.48	3992.596658	24811.79843	0	1279958.641	1276344.029	1245174.908	51311.86754	62242.08392	65535.18745
488.2697_4.49	2036110.872	2134459.87	1317741.67	3408775.721	3390630.406	3339107.982	2483461.268	2417232.068	2329365.359
700.2789_4.57	348072.3599	408535.3019	383215.4771	0	0	0	329943.8938	359050.7445	331942.7142
657.251_4.64	2972811.24	2783325.583	3746365.384	0	0	0	2518249.082	2573984.395	2568846.481
302.1674_4.65	138922.6838	150668.6909	112320.2694	453879.9932	478002.3387	476064.7629	168101.659	180553.3117	178921.6539
553.3335_4.67	227408.1902	215896.4218	371050.9256	0	172.564195	0	165201.1622	173980.7735	174609.9263
342.2382_4.68	79552.58232	64751.00471	106508.266	0	0	0	58249.87149	58507.98928	60751.07633
336.1911_4.73	104477.0113	100112.4827	151253.1356	48.0267076	56.68148639	56.82185713	79484.20828	74431.64223	74568.65376
265.0968_4.78	680646.9907	647245.8426	347681.4202	99610.15963	133786.5191	53457.51351	497976.1371	508103.3448	499188.6753
334.2219_4.78	46000.94986	62255.30872	26946.42136	79307.71686	70941.78907	70570.20711	64713.74103	72802.52314	65588.02191
564.3021_4.78	270970.2973	244525.2905	413644.5416	0	0	0	211558.8862	237798.3701	189060.186
394.1967_4.87	103534.7478	90071.5512	157710.728	0	0	0	91789.4527	77565.60693	88948.40436
566.4271_4.9	673086.5616	809573.0486	212119.0422	2327608.263	2123193.94	2142930.31	992533.2942	1004725.243	1015422.654
289.1542_4.97	50814.71395	49676.40981	70407.38128	0	0	0	39219.84462	34945.3173	38052.84234
639.2403_5.01	2851592.813	2726537.691	3694147.134	0	0	0	2316497.2	2385208.824	2320064.745
475.2912_5.01	53273.4139	57228.63245	86416.66227	0	0	0	40622.24933	41243.05356	35476.01149
587.3183_5.08	1381607.588	1281073.182	1933003.417	0	0	0	1082973.131	1127298.67	1092655.663
392.1808_5.08	75146.15464	85702.0989	92279.4156	0	0	0	68419.23845	69494.35942	74544.34187
439.2545_5.22	546622.4245	493135.8144	749647.9318	0	0	0	421453.3229	434275.1524	438242.7227
225.1382_5.29	242125.9338	216306.223	169627.853	9562.836525	4746.980684	5126.548431	191391.202	182784.0401	190631.5803
269.128_5.47	146722.6516	145243.3046	179127.063	0	37.70375586	141.1524001	117921.4447	112255.1439	115542.8252
463.2179_5.48	92864.85269	71447.5435	131289.1981	0	0	0	66985.47735	74280.83101	80240.00695
279.1697_5.5	231210.1478	184059.4941	393509.9973	35069.30413	31000.48935	38019.04902	146365.4122	165354.6658	163048.9101
609.3959_5.52	63618.97799	65077.18778	114891.8107	0	0	0	43237.96319	44151.84031	61319.18677
577.2612_5.54	331891.0237	302361.9647	502804.9858	0	0	0	231413.894	203490.5334	228600.3454
306.2634_5.62	11266.23	0	0	194990.4564	14760.19719	14400.10967	35537.69466	36813.90705	33870.66081
582.2187_5.65	524015.5305	465167.8263	768937.7215	0	0	0	400922.9638	409067.6408	409278.7687
171.149_5.73	420796.0072	436651.9851	186851.6551	641546.0753	725105.1269	669990.8612	553144.1758	538649.2959	527465.0961
520.2761_5.73	69234.03464	60803.31546	139771.7481	0	0	0	49600.37543	45065.0383	42467.59003
342.2017_5.77	87755.97207	79868.15065	114857.3024	0	0	0	72809.13166	69660.14818	60709.6268
644.4119_5.81	135355.7181	133983.657	222344.6659	0	3300.258212	0	90501.43803	75332.43638	98380.81647
331.2162_5.81	117989.2224	122842.5408	77974.63133	192482.1961	224341.4483	198250.2267	157998.6646	157700.6197	158362.6304
564.2082_5.86	182308.3506	159781.126	249646.3926	0	0	0	133508.5941	109439.0343	133940.2428
292.1803_5.89	2308.669738	572618.9744	20265.69272	9159.077555	9486.188611	8626.118704	96869.25069	103814.7339	111992.8567
268.2055_5.9	93400.40086	81948.53239	21225.17221	79.74143654	0	0	42962.34819	47975.24314	37480.51163
345.2376_5.94	1392541.227	1494611.285	619866.244	356023.7839	400756.1971	371809.3568	1014932.615	979285.0724	937605.4036
551.282_5.95	136420.5485	104814.1386	176834.4741	0	0	0	59587.56213	48993.57475	61424.6068
316.2054_5.96	249592.0684	213930.6759	60280.0758	18039.579	23537.43698	15421.11685	140724.6891	136765.3061	122476.4748
282.2211_5.97	238921.1051	195011.8139	39771.78943	0	0	0	103085.0114	117029.8114	101208.5966
366.1078_6.01	78298.82321	70760.7882	188284.9469	0	0	0	44051.98223	45991.30313	40162.97459
195.149_6.05	23726.0911	16388.48961	23354.94583	0	0	0	7939.129486	6226.141237	4142.707334
450.3765_6.08	45528.44757	29674.16487	14252.73081	667157.1329	200348.0722	255732.6456	154076.6978	133228.2683	227817.0561
402.2844_6.1	624950.7022	635236.5721	500780.6505	915506.8942	827487.037	823651.1921	938374.2264	685214.9248	712416.0895
230.2475_6.12	1437601.132	1372878.915	715343.4382	3191915.504	2820269.275	3672191.368	4419959.393	3504239.955	3124503.924
288.2891_6.12	6771809.251	1246618.87	429907.8829	3152239.382	1605883.93	2309198.398	5079761.008	4243668.921	3711009.538
279.0928_6.17	301114.5123	322872.5922	194925.1441	353348.3725	361847.9865	357467.3839	354025.0688	330359.8384	332943.9137
346.3309_6.17	565425.1599	391089.852	4998.346217	6895849.951	3094548.227	6264033.565	3936709.398	3424383.969	3085403.591
267.1222_6.18	0	0	0	701082.518	817707.3659	566615.1895	479332.0035	353000.0727	267944.9135
121.0648_6.19	2184.283478	677.1883711	563.3119704	267684.1438	301196.8122	226071.7797	178589.0753	138169.8084	115721.9252
432.2374_6.19	908840.4628	0	31.98076727	44498822.21	54461156.21	35668365.47	24278920.76	35550343.28	42139984.85
330.336_6.22	1511324.61	976787.3018	142310.1065	5208706.136	4881286.447	7813157.643	5464803.786	4503059.839	3838932.44
374.3622_6.22	214164.7128	171853.6577	2772.935481	2333362.335	1133070.05	1979104.888	1374632.657	1129517.159	1129531.82
425.3422_6.25	176454.4222	213753.7321	9015.494384	14010.63649	37649.64058	67468.93137	81684.32634	83106.10149	97152.00517
119.0856_6.25	83984.60242	0	0	1355376.195	1251598.734	958106.3377	758964.6335	644797.1516	631778.2712
281.1379_6.25	12839.9615	0	0	675740.6511	657060.3468	443640.5977	393710.6973	255088.9742	276633.5978
488.2995_6.25	300734.9733	38352.40274	247430.7206	778295.9497	1550293.553	1001080.5	221850.97	2194362.077	4349446.094
446.253_6.26	1144916.56	10161.19169	4345.730195	28985246.61	27033027.6	22398130.38	18659266.03	12718988.81	10006184.8
474.2844_6.26	459208.7791	0	1709.392251	12284498.54	11011063.65	8549760.091	7138101.796	4819436.985	4019751.005
355.3676_6.3	0	0	0	0	103055.1448	166293.7137	42224.20313	13302.13325	33493.27399
225.1455_6.35	76927.92499	52151.90153	48371.31046	90608.25194	91511.77368	81182.17603	94816.73131	82764.02804	79745.04329
261.2209_6.46	0	0	0	249434.3354	185075.2445	152026.512	115030.5686	90946.81847	74110.59305
425.2138_6.46	1858105.597	1781205.13	1633965.041	2976848.809	2592555.922	2715305.042	2370375.458	2121486.953	1658415.742
590.4255_6.49	1327115.091	1297948.948	916814.5354	1601265.361	1545868.732	1707515.783	2158072.425	2417233.944	2411571.385
445.3127_6.5	1157938.528	1050723.559	726120.941	1135282.345	1134870.203	1223073.014	1133579.117	1246801.353	1133899.824
530.3471_6.54	94375069.79	72107810.76	5345433.765	11187476.22	30593664.87	34305395.34	42114010.29	67877548.23	79050479.58
682.3624_6.56	0	0	0	1397724.88	1876889.697	3042100.644	669692.6096	1850920.356	2287130.192
358.3674_6.69	247250.6633	174928.3058	44064.30417	87424.06353	150548.5958	261718.0417	252381.0508	151943.5514	96763.58229
382.2033_6.79	0	0	0	860863.6429	797494.2668	82067.88243	1143916.349	35348.07816	0
493.2249_6.83	6159.954248	0	0	429563.4373	433735.9498	341971.0045	271362.4349	206533.7689	243791.0685
621.3097_6.88	0	0	0	447503.639	486895.5595	1063063.641	222150.3496	310985.4205	229215.0612
758.2206_7.02	0	6069178.301	0	0	3007990.347	0	4047017.429	0	0
400.217_7.23	7458690.278	8229580.483	5416020.432	7182332.239	8272650.874	8141003.148	8556673.561	8761894.265	8442237.601
142.1225_7.29	5741258.64	6236985.761	4098868.34	5880362.999	6250640.179	6081743.462	6427377.166	6313044.463	6206071.195
610.1833_7.31	0	0	0	9042.637793	0	7365.55183	13329934.28	11456455.7	10741197.64
139.1116_7.37	153752.1133	151780.3309	108384.9015	173031.835	228620.6979	215244.9652	253134.9708	210443.4109	218172.9402
659.5208_7.42	126110.3629	113382.0968	54781.59881	235354.2427	349385.4489	571114.0794	295200.0276	253695.4586	239892.3152
444.2432_7.49	11704083.2	12676827.6	8400835.398	11579800.87	13205794.93	13098390.43	13652388.97	13819390.72	13598887.96
148.0966_7.51	47286.07685	71019.13953	66319.75893	38193.3656	54340.80415	53694.47647	49208.34546	61360.37236	77291.27157
106.0864_7.59	241753.0746	258605.7569	188501.6492	240894.274	269223.6273	238498.3905	281023.8367	278226.3383	290107.2212
157.097_7.59	374479.5617	397266.2405	276890.7272	327847.3438	412774.33	406550.8853	337957.2892	405192.791	447944.2114
109.0762_7.8	228379.3285	265312.7762	183383.0379	158209.5976	222333.3709	253844.8823	176472.9016	239875.8613	321488.6419
144.0806_7.81	301853.0922	317141.0173	198818.1819	229712.7252	300099.296	357311.4146	247245.5218	333838.9125	358072.9874
134.0599_7.8	32464.57347	31098.74807	20752.90522	26812.52234	30462.6316	38548.35116	39291.54601	34648.86929	44952.06543
106.0653_7.8	316596.5876	339795.9442	226356.2268	231014.439	320261.1298	381613.8497	251657.7508	362362.9976	410827.5296
120.0445_7.8	489649.0963	528349.1513	324302.0207	588115.7534	586884.9369	577509.9963	592422.1942	590062.9329	542861.319
94.0655_7.78	21580074.56	22486890.13	15526730.59	16595150.77	20792208.95	24917677.54	16136207.53	24435876.87	27033095.2
274.2735_7.74	37599.33989	27335.73752	27760.2363	67397.2143	84288.48044	66460.53559	136509.3849	76914.59431	85159.65206
122.0965_7.71	509866.2106	533093.1255	396047.3611	289236.2765	463899.1062	584943.154	347962.7363	523531.33	675186.8819
190.1072_7.67	1161815.227	1138220.617	896178.5191	1171629.953	1343328.301	1065538.395	1415310.426	1268085.677	1316925.748
192.1381_7.59	183123.4002	191279.428	124181.7836	209750.1883	213160.3537	214146.8707	230507.713	215846.7784	208099.8366
125.0709_7.59	153276.4664	161875.0945	117795.3786	140736.5287	156506.0603	156127.051	144389.4503	169483.0033	189635.2129
113.0711_7.56	137237.4854	152352.5117	107771.3957	122421.8253	141457.8275	136745.6777	150852.6998	158099.0327	158691.3575
150.1123_7.5	8496590.533	9211365.796	6753717.321	7812905.139	8976448.375	8228291.509	9451513.208	9478361.649	10304702.28
875.7301_7.41	8354496.424	9629204.049	6174318.904	10467840.79	13976035.65	13475210.93	15249376.51	12734744.9	12489579.76
245.1743_7.39	30283.40911	34881.87951	21986.16996	10519.34253	33651.81487	42209.03463	40337.94619	28780.9707	37390.1754
116.1435_7.29	24722548.98	26774991	17382588.76	25080081.87	26590572.39	25846528.61	27411001.8	26860609.42	26443956.77
102.128_7.29	211570346.1	226325383.7	146185234.1	217668207.7	233364444.8	226915568.6	232320968	239958858.1	237206597.1
663.4525_7.17	258243.0912	1113709.212	697040.0729	226209.2521	316660.5337	1178723.106	123880.2764	208539.4728	156464.3139
641.5105_7.06	575045.9212	361903.9058	235744.3213	2368986.841	2743645.539	2977174.172	2000032.046	2224094.315	2519166.99
177.0881_6.75	919226.0409	929814.2079	620146.5176	794495.1071	806457.7785	888572.8774	895626.2429	954664.2411	922110.0509
584.4726_6.69	100057.4333	201794.7186	65593.63101	1413922.35	81863.58716	88579.04064	225727.2315	224380.004	236977.3104
330.336_6.69	224979.6577	160159.1696	17351.20705	787060.4875	521768.915	1033990.105	695050.8442	439250.6023	445282.9269
280.263_6.69	0	0	0	532509.9896	382086.7359	275904.1083	231705.4352	182767.6348	189782.8038
512.4152_6.57	191373.8387	216608.9431	80088.41742	4470586.953	205170.0999	252733.1548	427863.0281	506429.9933	476885.3255
214.1337_6.57	149184.0241	122431.6038	192270.5352	0	0	0	74692.51227	63390.26329	46104.11014
600.4674_6.56	121365.5959	107647.8577	64096.3755	5284677.895	124762.0773	138970.4347	320514.374	423611.3388	370706.4381
556.4413_6.56	116665.4714	204157.2747	93020.60076	4990520.944	181905.0592	242518.6061	397920.9708	419270.0657	485095.1644
668.3468_6.55	0	0	0	2403592.847	1719748.203	3061802.574	626872.8701	1065083.565	906723.9713
528.3315_6.54	5039337.03	4179762.138	102316.4018	1788024.23	2802673.793	3036727.564	5840227.21	4754237.443	3814027.345
337.2003_6.54	604463.8813	400132.7862	2419.512083	211251.0819	327920.9486	400792.9532	615085.2385	601041.5258	479830.9831
149.0959_6.54	227882.6169	157722.6527	7323.370324	88010.86807	125274.3909	147900.9496	199579.2051	232116.3993	203699.8915
544.3628_6.53	18036237.76	13953731.7	543367.9041	4952931.94	6516941.206	8890850.397	13640707.3	12415086.17	9037549.551
507.2712_6.52	42461346.37	34910664.79	2364959.954	26437119.98	40166472.76	51311377.5	59311409.14	73630164.28	70205337.58
133.101_6.52	308639.3492	230590.4172	2331.380273	122940.6188	168390.2112	217687.1641	289283.7112	300349.8047	274610.0864
634.4516_6.46	2340053.197	2264491.423	1414544.488	2428072.387	2284456.695	2421374.197	3197917.894	3575868.774	3670040.953
355.2446_6.35	231289.4655	250664.4647	155224.1992	276843.9219	248619.2224	285014.2869	284663.5797	225160.695	249098.8234
336.2502_6.32	3306.450311	0	4564.382362	752782.3491	395982.1664	306938.0138	400495.0266	316258.1922	324547.7411
359.2874_6.31	1954906.076	1855853.573	921861.6788	1085970.93	1241444.297	1349569.332	1438376.688	1491627.535	1555373.01
460.2687_6.26	4781605.755	363781.6874	443868.4665	27810103.31	37601238.25	25361077.39	13242569.34	28247601.32	38413055.1
225.1958_6.26	356160.9662	362212.1346	243896.5896	506293.7418	504217.6716	492532.199	518134.2515	390858.2036	385440.2114
327.3364_6.25	0	0	0	98129.24579	1002504.946	732367.6486	302645.3535	245665.3983	248807.4398
84.0812_6.25	15206970.74	15634644.87	10118538.97	17473933.57	17623205.33	18315951.38	16517562.74	17618152.83	18139512.3
332.3151_6.22	167616.7073	6445.410557	0	9666.610557	4761.51479	0	50862.90167	26121.95714	25878.13472
316.3204_6.19	3651340.92	502075.0869	75115.84018	1085919.183	654641.4215	887521.0437	2311214.798	1845540.817	1677029.315
105.0701_6.19	4118.098065	1698.472833	5909.538118	866793.8322	959224.3485	720881.7171	556903.0621	446608.5047	392052.482
412.2837_6.18	196620.8288	168483.6994	413486.5182	0	0	0	105425.9033	84684.12046	62952.13988
418.2217_6.18	0	0	0	20724244.6	21776981.14	18970356.93	14748623.59	10023396.27	7053690.866
419.2605_6.17	2211156.316	2227650.24	1571339.679	2684070.687	2699581.541	2672287.395	2810735.014	2546203.422	2553946.547
283.1508_6.17	1385209.953	1409019.606	952266.7695	1491978.445	1644632.615	1615421.121	1679056.334	1660901.752	1561560.937
402.3207_6.15	301078.8887	272378.9253	300527.4591	157044.0166	133086.7047	160761.1748	340733.1296	226933.4005	194449.5846
286.3099_6.14	90314.98047	91409.1548	24318.18593	129036.5777	87409.98784	116791.2496	236290.7294	221432.9455	223596.8393
290.2683_6.12	177780.2368	94560.66754	39019.63305	2112087.822	524207.9175	932280.2663	1034583.342	826646.4262	742587.3392
334.2944_6.1	12694.74645	0	0	601559.815	104654.0584	111640.5512	155268.6846	129527.6273	148487.4511
253.1906_6.05	34780.45174	19991.20668	73364.5148	0	0	0	13178.41176	7557.084791	9106.99485
150.1123_6.05	2850298.278	2664355.914	1583180.917	3632797.446	3714621.89	3519518.757	3990229.371	3224947.095	2886778.841
329.2541_6.02	53381.54006	34511.90802	63774.69016	0	0	0	26522.49964	29072.40467	16872.01621
246.2424_6.02	267876.9264	133094.9223	13660.03471	2449939.975	1350189.759	1241095.833	1147743.26	1050655.205	977192.9361
134.0712_6.01	102698.9226	113759.1311	47231.78178	118838.3105	134480.1542	130987.8805	129575.7183	127943.199	128571.3896
373.1499_5.98	77925.76464	59067.09236	158081.4395	0	0	0	44175.1497	43698.12232	35868.29491
269.1855_5.96	19274.46282	19156.29304	39670.78851	0	0	0	10592.59074	10150.59432	13849.32238
584.3071_5.91	81073.45656	63408.19697	142767.1175	0	0	0	31927.44568	33344.17155	35807.95002
318.1848_5.9	89889.37497	82393.21418	37661.33579	9172.959762	10180.76988	4101.553046	40465.69122	38004.93672	46808.7156
376.1864_5.83	232932.3855	200948.1153	307744.5001	1496.733689	2487.541735	2553.456383	170660.8336	159870.0859	168475.3671
359.1343_5.82	30802.91455	26146.25033	54798.83022	0	0	0	21011.16876	17140.83032	16423.36128
639.2401_5.76	523521.5023	449039.8295	786839.2378	0	0	0	368377.2581	389947.6853	372180.0646
889.4799_5.74	184851.2319	109814.958	343244.6062	0	0	0	101432.2886	91131.73699	114243.0418
202.1435_5.62	18170.98472	21370.65349	13034.66258	76019.37076	79548.72528	84320.84157	56511.12034	52871.31049	58406.99229
569.2923_5.6	933698.4243	842173.154	1396457.625	0	0	0	733328.4451	715008.0323	761828.0324
262.2373_5.56	53336.82909	22478.54029	0	659667.8479	105180.1197	126551.9652	151313.9217	161405.5789	152281.8885
455.3222_5.45	61484.74884	42218.13558	112605.1712	0	0	0	34323.61124	30818.92427	32200.33151
183.0779_5.44	1339.070097	1433.240198	0	3060.833517	409.9013921	848.5937718	13981.62313	76198.46958	260776.9664
582.2189_5.43	178447.6277	191848.1862	279408.1665	0	0	0	108652.9365	125846.6538	131668.9888
830.4399_5.4	342958.1224	336842.4202	664777.4808	0	0	0	204913.628	208000.9949	241176.5202
241.2033_5.37	0	1167.291063	0	0	0	341885.803	40077.59044	35545.29756	41281.66336
725.3469_5.31	257408.3524	279108.3858	440065.8348	0	0	0	192741.2983	172059.8135	179212.3736
788.4292_5.29	253491.7746	307254.6616	486164.9241	0	0	0	184870.9168	208233.3293	176370.1857
333.2012_5.29	119541.1585	142914.372	64451.72328	31870.2845	37522.17912	31795.27259	94473.95651	93298.39522	88438.3876
539.2827_5.28	169497.4606	169090.259	265826.0463	0	0	0	135197.319	134262.3426	113168.7538
227.154_5.24	188643.6737	173640.9197	123659.2655	15148.91746	14444.78366	11774.53751	133313.3059	132925.3709	130280.3553
447.2596_5.22	69867.71698	69597.16587	119613.2507	0	0	0	47234.77692	46649.68043	58446.87139
711.3668_5.1	431807.8278	407068.4994	561430.0772	0	0	0	321333.9353	355270.0551	357342.65
238.1071_5.04	23065.6621	25694.7317	44928.47312	2849.028357	5454.020731	4131.023354	20990.48346	17756.77421	17586.52688
459.2232_4.99	134941.7961	122484.113	166377.8018	0	0	0	102083.5451	108996.2483	96542.42342
530.2981_4.97	222812.3299	208339.6005	331653.0382	65.07436251	0	0	173062.2488	161583.1168	181653.4437
284.139_4.97	103921.3073	95206.68442	96141.27266	0	0.018741704	0	79530.14018	77265.44159	73805.0789
543.2194_4.95	318317.8026	308064.036	302929.3512	0	0	0	215878.9415	233944.4963	226297.9516
236.1642_4.94	257498.3528	235546.6533	305655.3202	0	483.2418832	1788.808739	187150.3096	192734.6636	191231.0748
575.7956_4.91	534950.254	499010.9962	803094.4137	2397.969172	3368.64751	2136.362051	415283.5111	387470.6742	431070.2724
558.329_4.9	297216.3937	250944.4602	431358.3427	0	0	0	213151.8523	241427.6665	212628.107
553.3336_4.87	993176.0091	902196.7767	1444336.782	6757.607549	0	0	735632.944	781046.3294	759006.2571
230.1385_4.86	46846.94533	38099.93805	51547.09649	14346.79633	16316.76921	12884.50113	37604.98336	39452.98526	35118.32153
204.1229_4.85	15981.71227	15823.07466	29085.4902	4936.638263	7915.363214	7926.651589	15077.70772	16627.44759	11587.21259
480.2444_4.83	331042.8437	307901.5526	447353.3077	0	0	0	261031.0719	246990.3556	274312.6245
439.2909_4.82	1419524.715	1337016.232	2119130.229	0	0	0	1136851.819	1158787.091	1132117.845
712.4237_4.79	237109.6614	160670.5204	395926.3969	0	0	0	204745.6191	191982.0116	167214.7373
509.2355_4.79	212741.1354	211620.46	224831.819	0	0	0	147255.7228	164950.242	141165.3343
576.3221_4.75	1009844.935	1051709.434	501213.0911	1994542.805	1687458.033	1785644.259	1196257.512	1185107.096	1171238.232
950.5292_4.68	619086.9191	554625.8084	774368.3974	5586.068783	0	0	520202.004	527388.0421	508399.1802
456.2811_4.68	167466.8753	159912.875	255461.0963	0	0	0	129188.0145	139795.5647	134060.5297
182.0268_4.68	47448.50076	42432.08555	25267.97734	0	0	0	32768.15816	30762.82724	31673.4157
553.2981_4.65	527905.9348	497622.3435	625671.9273	0	977.4643071	0	426893.5609	433067.7561	458706.2291
573.3029_4.64	280501.1909	258620.4816	390589.9228	0	0	0	192687.0226	221979.457	223401.9251
316.1288_4.64	278231.325	252103.5197	281564.989	0	0	0	236055.2501	239962.719	253632.3733
772.3938_4.6	714445.2176	674258.7183	911885.9294	0	0	0	580234.541	578483.9315	588201.2188
419.2285_4.57	153319.7568	150963.9542	218817.0136	0	0	0	142495.4915	145188.3577	136233.0357
569.3289_4.56	243465.1852	223231.5096	397870.1562	0	0	0	199496.1784	200597.3069	209873.262
917.4355_4.54	825778.1015	755265.0882	926771.133	0	35.73417974	0	691946.0442	601611.61	687458.606
557.3289_4.53	271105.4219	247283.7523	386542.5118	0	0	0	216354.2245	199714.9541	210221.2954
360.2123_4.5	420738.214	393665.4763	622550.1657	2328.216202	2236.606918	0	324243.5245	353414.7031	334605.5527
109.1014_4.5	94386.52792	98280.15891	44140.86407	587786.724	551757.8792	331788.5713	221378.7765	231554.2169	224700.1774
254.059_4.48	115252.8784	89970.76848	11991.15609	11881.64972	0	0	49293.6262	46496.85111	43614.54495
219.1701_4.46	0	0	0	127055.8536	193121.7231	54920.85561	0	561.9962545	671.3327027
723.3302_4.44	455984.9907	404452.6955	615939.971	0	0	0	363462.2439	376642.5372	407382.0574
543.3131_4.43	1880450.68	1699848.614	2571861.469	0	0	0	1508035.273	1587908.93	1607644.063
493.2286_4.39	636937.3463	624744.6521	630830.5227	4273.557836	2102.851673	0	582614.4213	606251.9435	611683.5033
482.2968_4.36	2771113.466	2523265.294	3894472.296	426.7489975	533.2417955	142.4970553	2322296.526	2340482.897	2354940.496
835.4659_4.36	1083029.769	984895.8389	1373430.034	0	0	0	917419.1895	910066.4664	919468.9344
634.3189_4.32	169962.1572	154825.4705	198905.274	0	0	0	122750.6695	123249.4375	129688.3329
444.2433_4.32	1356666.31	1407452.854	654343.889	2688997.669	2734960.617	2392223.925	1692558.871	1622862.56	1725826.927
724.3431_4.31	466658.1069	417574.7837	359395.5693	0	0	0	453733.1571	447686.8236	447921.4664
584.3396_4.24	143935.601	122301.2147	239187.3766	0	0	0	108577.7741	80883.95006	104223.5799
419.2285_4.24	443309.1352	387472.1835	596094.224	0	0	0	361313.6261	339335.5178	348409.9685
846.4201_4.14	16145270.09	15522351.32	16862214.99	0	0	0	17045345.71	15289982.54	16856516.11
564.3585_4.11	861688.6777	902482.6209	466589.7343	2160814.833	1842727.751	1741534.339	1148734.276	1075169.685	1275043.957
913.4385_4.1	3280043.766	2927862.415	3039950.168	0	0	0	3565859.589	2980239.961	3537572.311
488.7492_4.06	748195.8126	765089.0545	1023570.776	0	0	0	750134.4566	688628.4647	773473.9722
460.2747_4.05	1638426.61	1623619.886	865739.2684	2957141.424	3033561.824	2764047.22	2079717.889	1876361.914	2033418.709
652.4022_4.03	1476230.6	1302155.083	1963124.303	0	0	0	1315130.588	1163823.399	1368849.075
364.1893_4.03	148652.5836	142369.917	189676.2002	0	0	0	132383.7269	123400.3912	122489.7138
683.3318_3.97	3649032.573	3551124.408	3622347.312	0	0	0	3234652.695	3208032.631	3413718.372
821.4511_3.94	2803264.362	2437706.192	3211344.197	0	0	0	2437822.601	2211668.077	2440337.445
288.155_3.92	150665.9607	132993.5663	184492.4295	0	0	0	116926.5652	122752.0805	125313.8009
671.3432_3.91	2931774.877	2492966.91	2247926.743	0	0	0	2617161.112	2483312.63	2577712.784
330.2382_3.88	318645.7613	276838.9943	427813.3634	0	0	0	245545.0133	238492.0013	261626.9047
241.0736_3.88	807445.7958	884238.388	375812.8761	0	0	0	449165.7494	434491.6744	474375.0734
600.3347_3.87	1848173.879	1519536.857	2081072.339	0	0	0	1495417.549	1531441.639	1556514.028
239.1388_3.87	134676.4216	119947.106	142578.3426	5170.614246	6014.616432	3530.527345	97678.37582	95285.73173	107007.4109
214.0628_3.85	46530.03345	49556.11193	9914.602201	70448.89564	88299.00675	83324.51231	47616.80554	40234.18419	46599.78193
245.1857_3.85	2137786.289	1862318.653	2697111.979	1253.328215	0	0	1662296.293	1641653.878	1711055.456
482.2968_3.84	3248890.661	2769299.874	4145398.801	1509.628636	3215.781467	3707.346817	2533253.955	2498060.887	2608838.987
476.3061_3.83	1362954.114	1409910.969	668395.6997	3438157.307	3105812.433	2773384.885	1740836.879	1713939.808	1859416.811
628.3302_3.82	818192.6163	682185.5556	941021.1542	0	0	0	645621.5052	579055.246	626996.7146
229.0969_3.81	684842.4363	559757.3166	636991.963	30054.0553	39976.90137	32163.3072	548976.8071	541993.0282	581203.788
