mz_rt	C1	C2	C3	H1	H2	H3	QC01	QC02	QC03
261.1443_2.75	645685.5271	640475.0554	717696.0199	2845.561809	0	827.9768516	561426.0497	614690.8422	600436.7193
519.2405_2.8	5071094.863	4934866.591	4710443.387	0	0	0	4877027.094	5285318.616	4778838.273
539.208_2.63	615.1745314	2125.78863	584.696731	3335873.628	3375372.634	1848528.001	63759.75838	73536.24851	34525.51104
440.7533_2.84	6952035.153	6893306.399	8025749.72	0	0	0	6700376.932	6801282.556	6361897.827
427.2296_2.84	9251642.749	9188976.583	11059945.05	5388.185444	4832.512703	5027.5815	8945813.241	9179865.801	8236043.08
430.2292_2.95	6881445.146	6823519.385	7540348.719	0	0	0	6616213.764	6451808.079	6346767.003
286.1758_2.99	2185316.852	2149624.863	2516509.007	29111.74277	43049.10238	36542.63295	2055654.297	2026207.969	1990746.526
205.097_3.01	17640012.53	17752607.01	17508823.1	146139.7333	148894.7011	113923.7185	16892313.13	16467894.5	16448107.4
137.0152_3.05	75881.1434	86198.26547	30735.15547	129418.8435	145495.0894	155220.5722	74895.2409	85279.05381	83705.9208
242.1497_3.16	239345.4516	273143.7028	137626.2297	0	0	0	232308.1456	239133.3521	222967.5969
281.1129_3.2	1716484.008	1871758.638	1841631.213	112541.9492	115361.1045	83426.55009	1728272.136	1711711.654	1707665.266
147.1127_0.52	1925258.805	1923302.638	1932787.084	164726.6501	230798.4915	176417.9422	1504415.237	1605674.63	1603291.843
454.2292_3.28	709043.7514	846806.8445	560359.3556	0	0	0	820551.1022	787853.3131	829394.9483
667.3768_3.75	3276311.732	2949101.836	4223941.764	0	0	0	2719124.949	2651965.555	2877648.022
728.3936_3.97	2301522.078	1921648.698	2454159.121	0	0	0	1840205.524	1810629.347	1813111.176
305.0566_0.5	114102.006	103152.617	120940.4304	10187.20033	12285.46044	4221.791149	90677.69884	106910.9817	116726.2142
504.3008_4.21	2585733.227	2648100.195	1450500.089	4652750.789	4803845.519	4689939.496	3152197.712	3066051.995	3270941.563
188.128_4.46	91423.98192	107969.9891	55438.07833	1015407.758	1313828.511	499841.5218	310581.7306	323863.1929	325711.7713
730.3581_4.65	1974315.811	1896561.437	2454015.832	0	0	0	1572370.15	1705206.946	1709101.776
273.1592_5.32	198492.8991	190301.7371	264999.1293	35.9838126	37.7047805	19.98434689	137629.4982	131693.9301	135938.1422
602.2632_5.77	419566.4915	349759.4975	525582.3456	0	0	0	297860.3216	294482.5018	323079.7527
391.2292_5.98	498383.8805	533371.9873	256878.937	777416.5357	863800.4335	734851.752	616409.8334	610019.1259	561256.9254
274.2735_6.1	64478564.59	59848077.07	25785038.39	127370274.3	112638150.9	128580128.3	195329463.2	161103941.7	148748461.4
135.0803_6.25	15354.5638	0	0	276134.072	258976.3751	179117.8621	151647.51	115432.5112	117119.8976
